t , Posisix , Posisiy
0.0 , 0.0 , 10.0
0.1 , 0.71 , 10.66
0.2 , 1.41 , 11.22
0.3 , 2.12 , 11.68
0.4 , 2.83 , 12.04
0.5 , 3.54 , 12.31
0.6 , 4.24 , 12.48
0.7 , 4.95 , 12.55
0.8 , 5.66 , 12.52
0.9 , 6.36 , 12.39
1.0 , 7.07 , 12.17
1.1 , 7.78 , 11.85
1.2 , 8.49 , 11.43
1.3 , 9.19 , 10.91
1.4 , 9.9 , 10.3
1.5 , 10.61 , 9.58
1.6 , 11.31 , 8.77
1.7 , 12.02 , 7.86
1.8 , 12.73 , 6.85
1.9 , 13.44 , 5.75
2.0 , 14.14 , 4.54
2.1 , 14.85 , 3.24
2.2 , 15.56 , 1.84
2.3 , 16.26 , 0.34
2.4 , 16.97 , -1.25
